partners,runs,balls,outs,fours,sixes,SR,Bat_avg,bpb,50s/100s
R Parag  - SV Samson,112,81,7,7,5,138.27,16.0,6.75,-/-
Shashank Singh  - V Suryavanshi,112,97,6,10,1,115.46,18.67,8.82,-/-
BM Duckett  - MK Lomror,111,62,1,8,4,179.03,111.0,5.17,0/1
RM Patidar  - YBK Jaiswal,111,64,3,15,2,173.44,37.0,3.76,-/-
CH Morris  - N Sindhu,111,53,3,7,8,209.43,37.0,3.53,-/-
JJ Smit  - Shashank Singh,111,58,3,11,5,191.38,37.0,3.62,-/-
Ishaan Gadekar  - LS Livingstone,111,71,1,6,6,156.34,111.0,5.92,0/1
AM Rahane  - WL Madsen,110,76,4,10,3,144.74,27.5,5.85,-/-
Bilal Zalmai  - Ishan Kishan,110,61,3,9,6,180.33,36.67,4.07,-/-
Hassan Nawaz  - JM Sharma,110,66,6,7,6,166.67,18.33,5.08,-/-
KL Rahul  - RA Jadeja,110,67,1,14,2,164.18,110.0,4.19,0/1
Dhruv Jurel  - N Wadhera,109,80,2,7,4,136.25,54.5,7.27,-/-
BA Stokes  - Sameer Rizvi,109,60,2,11,4,181.67,54.5,4.0,-/-
Babar Azam  - SP Narine,109,82,4,18,2,132.93,27.25,4.1,-/-
JJ Smit  - N Rana,109,57,2,12,4,191.23,54.5,3.56,0/1
PD Salt  - Ramandeep Singh,108,78,3,4,7,138.46,36.0,7.09,-/-
JC Buttler  - MK Pandey,108,64,1,6,6,168.75,108.0,5.33,-/-
AK Markram  - JG Bethell,108,89,4,11,3,121.35,27.0,6.36,-/-
MK Pandey  - N Rana,108,61,6,12,4,177.05,18.0,3.81,-/-
Jay Gohil  - WG Jacks,108,53,2,9,6,203.77,54.0,3.53,0/1
Abhishek Sharma  - FH Allen,107,65,3,10,5,164.62,35.67,4.33,-/-
Hassan Nawaz  - Salil Arora,106,64,1,9,4,165.62,106.0,4.92,0/1
JL Smith  - RM Patidar,106,82,2,6,4,129.27,53.0,8.2,-/-
AD Russell  - N Sindhu,105,67,6,7,6,156.72,17.5,5.15,-/-
JC Buttler  - JM Bairstow,105,82,3,7,4,128.05,35.0,7.45,-/-
FH Allen  - TH David,105,65,2,9,3,161.54,52.5,5.42,-/-
KH Pandya  - MK Lomror,104,63,3,10,5,165.08,34.67,4.2,-/-
KA Pollard  - RK Bhui,104,66,5,4,8,157.58,20.8,5.5,-/-
B Sai Sudharsan  - SPD Smith,104,81,4,9,2,128.4,26.0,7.36,-/-
Abdul Samad  - WG Jacks,103,69,7,9,5,149.28,14.71,4.93,-/-
Chirag Jani  - N Rana,102,63,5,8,3,161.9,20.4,5.73,-/-
C Green  - N Wadhera,102,71,7,6,5,143.66,14.57,6.45,-/-
MW Short  - SA Yadav,102,67,3,11,3,152.24,34.0,4.79,-/-
Akash Vasisht  - SA Yadav,101,52,2,8,4,194.23,50.5,4.33,-/-
AK Markram  - Tarang Gohel,100,50,3,11,6,200.0,33.33,2.94,-/-
Bhanu Pania  - RK Singh,100,70,1,5,4,142.86,100.0,7.78,-/-
DA Miller  - JM Sharma,99,57,2,8,6,173.68,49.5,4.07,-/-
PD Salt  - Yuvraj Chaudhary,99,66,3,10,3,150.0,33.0,5.08,-/-
Anmolpreet Singh  - H Klaasen,98,56,0,11,3,175.0,inf,4.0,-/-
B Sai Sudharsan  - HH Pandya,98,65,4,6,4,150.77,24.5,6.5,-/-
JM Sharma  - Karan Shinde,98,50,5,9,6,196.0,19.6,3.33,-/-
Nithish Kumar Reddy  - RR Rossouw,98,63,3,5,5,155.56,32.67,6.3,-/-
AK Markram  - LS Livingstone,98,57,2,9,6,171.93,49.0,3.8,-/-
D Wiese  - GF Linde,98,65,2,10,3,150.77,49.0,5.0,-/-
MJ Owen  - MW Short,98,64,2,9,3,153.12,49.0,5.33,-/-
HC Brook  - RK Singh,98,75,3,3,4,130.67,32.67,10.71,-/-
Atharva Taide  - GJ Maxwell,97,75,2,7,5,129.33,48.5,6.25,-/-
Shakib Al Hasan  - Washington Sundar,97,81,6,5,5,119.75,16.17,8.1,-/-
SV Samson  - TM Head,97,50,5,14,4,194.0,19.4,2.78,-/-
BM Duckett  - Priyansh Arya,97,69,2,6,3,140.58,48.5,7.67,-/-
Aniket Verma  - MS Pepper,97,60,1,10,1,161.67,97.0,5.45,-/-
RG Sharma  - Washington Sundar,97,56,0,10,3,173.21,inf,4.31,-/-
R Parag  - Rashid Khan,97,60,4,6,6,161.67,24.25,5.0,-/-
DJ Hooda  - Naman Dhir,96,59,4,8,3,162.71,24.0,5.36,-/-
RK Bhui  - Suryansh Shedge,95,50,4,8,6,190.0,23.75,3.57,-/-
SP Narine  - YBK Jaiswal,95,67,2,9,4,141.79,47.5,5.15,-/-
AK Markram  - MK Lomror,95,60,2,3,7,158.33,47.5,6.0,-/-
Ashutosh Sharma  - JM Sharma,95,70,7,6,4,135.71,13.57,7.0,-/-
H Klaasen  - T Stubbs,95,63,4,6,3,150.79,23.75,7.0,-/-
Abhishek Sharma  - Rahul Singh,94,67,2,7,4,140.3,47.0,6.09,-/-
V Nigam  - WL Madsen,94,52,2,9,5,180.77,47.0,3.71,-/-
Ishan Kishan  - Urvil Patel,94,52,3,10,3,180.77,31.33,4.0,-/-
JM Sharma  - JM Vince,94,54,1,6,4,174.07,94.0,5.4,-/-
Nithish Kumar Reddy  - Rashid Khan,93,63,3,6,4,147.62,31.0,6.3,-/-
BM Duckett  - LS Livingstone,93,62,2,8,3,150.0,46.5,5.64,-/-
Aniket Verma  - RD Rickelton,93,54,3,11,3,172.22,31.0,3.86,-/-
N Wadhera  - R Powell,93,55,2,8,5,169.09,46.5,4.23,-/-
Ashutosh Sharma  - J Fraser-McGurk,93,67,1,8,3,138.81,93.0,6.09,-/-
A Raghuvanshi  - JM Bairstow,92,68,5,9,6,135.29,18.4,4.53,-/-
Chirag Jani  - T Stubbs,91,61,2,6,4,149.18,45.5,6.1,-/-
H Klaasen  - Washington Sundar,91,61,5,10,3,149.18,18.2,4.69,-/-
Abhishek Sharma  - R Parag,91,67,2,7,4,135.82,45.5,6.09,-/-
PHKD Mendis  - RR Rossouw,91,50,1,6,5,182.0,91.0,4.55,-/-
Ashutosh Sharma  - RD Gaikwad,91,66,3,11,2,137.88,30.33,5.08,-/-
RG Sharma  - V Suryavanshi,90,74,3,12,0,121.62,30.0,6.17,-/-
N Wadhera  - YK Pathan,90,56,7,7,6,160.71,12.86,4.31,-/-
Babar Azam  - RG Sharma,90,56,1,9,3,160.71,90.0,4.67,-/-
AB de Villiers  - JG Bethell,89,50,1,6,6,178.0,89.0,4.17,-/-
P Simran Singh  - PHKD Mendis,89,65,4,3,4,136.92,22.25,9.29,-/-
N Pooran  - R Parag,88,76,4,6,4,115.79,22.0,7.6,-/-
B Sai Sudharsan  - N Pooran,88,59,3,10,1,149.15,29.33,5.36,-/-
Sikandar Raza  - WL Madsen,87,60,4,5,5,145.0,21.75,6.0,-/-
PWH de Silva  - Urvil Patel,87,60,0,5,4,145.0,inf,6.67,-/-
AB de Villiers  - D Brevis,86,55,3,8,2,156.36,28.67,5.5,-/-
MA Agarwal  - S Dube,85,54,2,6,4,157.41,42.5,5.4,-/-
SP Narine  - WG Jacks,85,54,3,8,3,157.41,28.33,4.91,-/-
AM Rahane  - D Padikkal,85,57,2,10,2,149.12,42.5,4.75,-/-
B Sai Sudharsan  - Bhanu Pania,85,73,2,8,2,116.44,42.5,7.3,-/-
J Fraser-McGurk  - RD Gaikwad,85,52,3,10,2,163.46,28.33,4.33,-/-
AK Markram  - V Kohli,84,61,2,5,4,137.7,42.0,6.78,-/-
GD Phillips  - V Nigam,84,55,2,4,5,152.73,42.0,6.11,-/-
JDS Neesham  - V Kohli,84,57,1,9,3,147.37,84.0,4.75,-/-
BJ McMullen  - N Sindhu,83,54,2,8,1,153.7,41.5,6.0,-/-
Dhruv Jurel  - FH Allen,82,54,1,10,2,151.85,82.0,4.5,-/-
Ankit Kumar  - V Kohli,81,58,3,9,1,139.66,27.0,5.8,-/-
KD Karthik  - Tilak Varma,80,62,2,10,0,129.03,40.0,6.2,-/-
R Powell  - SM Curran,79,53,2,7,5,149.06,39.5,4.42,-/-
F du Plessis  - RM Patidar,79,53,4,6,3,149.06,19.75,5.89,-/-
RM Patidar  - TM Head,79,61,5,4,4,129.51,15.8,7.62,-/-
MP Stoinis  - Shashank Singh,78,70,4,1,3,111.43,19.5,17.5,-/-
JM Sharma  - Yuvraj Chaudhary,78,50,4,4,4,156.0,19.5,6.25,-/-
Ishan Kishan  - WL Madsen,78,54,2,4,3,144.44,39.0,7.71,-/-
HV Patel  - Washington Sundar,78,68,5,3,3,114.71,15.6,11.33,-/-
A Badoni  - Ramandeep Singh,77,56,2,6,3,137.5,38.5,6.22,-/-
JG Bethell  - Priyansh Arya,77,52,1,7,1,148.08,77.0,6.5,-/-
KL Rahul  - MK Lomror,76,51,2,7,3,149.02,38.0,5.1,-/-
Abdul Samad  - Ramandeep Singh,75,56,3,7,1,133.93,25.0,7.0,-/-
JG Bethell  - KL Rahul,74,57,4,4,4,129.82,18.5,7.12,-/-
Harpreet Brar  - RD Chahar,73,60,2,7,3,121.67,36.5,6.0,-/-
MP Stoinis  - YK Pathan,73,56,2,5,4,130.36,36.5,6.22,-/-
Abdul Samad  - Mohammad Nabi,72,53,2,7,2,135.85,36.0,5.89,-/-
JDS Neesham  - MJ Owen,71,54,3,4,1,131.48,23.67,10.8,-/-
RK Singh  - SR Hain,70,53,1,4,3,132.08,70.0,7.57,-/-
AD Russell  - MG Bracewell,70,53,5,2,3,132.08,14.0,10.6,-/-
PJ Cummins  - Washington Sundar,69,51,3,5,4,135.29,23.0,5.67,-/-
A Badoni  - RD Gaikwad,68,55,2,7,1,123.64,34.0,6.88,-/-
Babar Azam  - RM Patidar,67,67,5,2,1,100.0,13.4,22.33,-/-
R Parag  - RK Singh,67,55,2,5,3,121.82,33.5,6.88,-/-
B Sai Sudharsan  - Smaran Ravichandran,65,51,2,5,1,127.45,32.5,8.5,-/-
J Fraser-McGurk  - MP Stoinis,65,52,2,11,0,125.0,32.5,4.73,-/-
JP Inglis  - Nithish Kumar Reddy,62,51,2,6,0,121.57,31.0,8.5,-/-
F du Plessis  - MS Dhoni,60,52,2,1,4,115.38,30.0,10.4,-/-
Shakib Al Hasan  - Shashank Singh,54,52,4,5,2,103.85,13.5,7.43,-/-
